HR,Name,DM,HD,SAO,FK5,IRFlag,r_IRFloag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs1900,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B ,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
1429,,CD-42 151,28552,216821,,,,,,,1615,4,24,52.9,-,42,10,51,4,28,9.4,-,41,57,36,246.27,-43.80,6.44,,,1.64,,1.95,,,,M1III,,-0.011,-0.006,,,97,,,,,,,,,
1498,,CD-51 120,29805,233605,,,,,,,,4,36,35.6,-,51,52,7,4,39,4.3,-,51,40,22,259.24,-41.23,6.44,,,1.32,,,,,,K2III,,0.017,0.017,,,37,,,,,,,,,
1642,,BD+19  84,32642,94306,,,,,3672,,,4,59,38.3,+,19,40,9,5,5,32.1,+,19,48,23,182.60,-12.64,6.44,,,0.21,,0.24,,0.14,,A5m,,-0.009,-0.022,D,0.008,-17,,,53,,0.6,1.1,,,
2079,,BD+55 103,40062,25504,,,,,,,,5,51,25.4,+,55,18,46,5,59,45.7,+,55,19,15,158.00,15.18,6.44,,,0.31,,0.12,,0.13,,A5m,,-0.015,-0.088,,,45,,,,,,,,,
2098,,CD-31 285,40359,196335,,,,,,,,5,53,5.0,-,31,59,20,5,56,49.0,-,31,58,34,237.68,-24.82,6.44,,,1.07,,,,,,G8III,,0.002,0.019,,,29,,,,,,,,,
2407,,CD-38 273,46727,196930,,,,,,,,6,29,48.5,-,38,32,54,6,33,10.3,-,38,37,31,247.03,-19.88,6.44,,,1.00,,,,,,G8III,,0.006,-0.022,,,29,,,,,,,,,
2417,,BD+24 132,47020,78557,,,,,,,,6,31,19.4,+,24,40,26,6,37,27.2,+,24,35,27,189.38,8.07,6.44,R,,0.10,,0.05,,,,A3V,,-0.016,0.008,,,-2,,,,,,,,,
2642,,BD+60 102,52708,26141,,,,,,,,6,57,11.5,+,59,56,59,7,6,1.3,+,59,48,7,156.56,25.00,6.44,R,,,,,,,,G8III:,,0.026,0.001,,,22,,,,,,,,,
3096,,CD-30 527,64974,198591,,,,,,,,7,51,16.8,-,30,39,16,7,55,13.7,-,30,55,3,247.33,-1.40,6.44,,,,,,,,,K4III,,-0.047,0.043,,,54,V,,,,,,,,
3133,,CD-51 278,65867,235646,,,,,,,3841,7,55,40.1,-,51,10,39,7,58,21.4,-,51,26,55,265.43,-11.36,6.44,,,0.25,,,,,,A8-9IV,,-0.046,0.034,,,10,,,,,,,,,*
3219,,CD-36 429,68450,198898,,,,W,,,,8,7,19.9,-,36,59,42,8,11,1.6,-,37,17,32,254.47,-2.02,6.44,,,-0.01,,-0.87,,,,O9.5II,,-0.012,0.003,,,39,,,97,,7.0,18.0,AC,3,*
3256,,CD-50 322,69596,235838,,,,,,,,8,12,30.3,-,50,8,30,8,15,23.3,-,50,26,58,265.98,-8.55,6.44,,,1.49,,1.87,,,,K3-4III,,-0.012,-0.020,,,10,,,,,,,,,
3317,,BD-16 244,71231,154240,,,,,,,,8,21,5.7,-,17,6,48,8,25,39.4,-,17,26,22,239.67,11.69,6.44,,,,,,,,,K0,,-0.007,-0.005,,,-13,V,,,,,,,,
3428,,BD+20 216,73710,98021,,,,,6921,,,8,34,37.7,+,20,1,25,8,40,22.1,+,19,40,12,205.89,32.48,6.44,,,1.02,,0.90,,0.49,,G9III,,-0.035,-0.017,,,36,SB,<,45,,1.3,63.2,AC,4,*
3580,,BD+38 198,76944,61191,,I,,,,,,8,54,9.4,+,37,59,36,9,0,30.8,+,37,36,16,185.33,40.90,6.44,R,,,,,,,,K5,,-0.007,0.000,,,-17,,,,,,,,,
3622,,CP-57 185,78293,236578,,,,W,,,,9,2,7.9,-,57,27,12,9,4,48.0,-,57,51,9,276.31,-7.23,6.44,,,0.25,,0.19,,,,A8III,,-0.026,0.025,,,15,,,,,3.6,3.3,,,*
3998,34    Leo,BD+14 221,88355,98991,,,,,7674,,,10,6,15.5,+,13,50,56,10,11,38.2,+,13,21,18,225.08,50.28,6.44,,,0.46,,0.02,,0.27,,F7V,,0.040,-0.036,,,-16,,,,,0.8,0.2,,,*
4005,,BD-18 287,88595,155820,,,,,,,,10,7,53.2,-,18,39,22,10,12,37.8,-,19,9,13,258.87,29.82,6.44,,,0.50,,,,,,F6V,,-0.236,-0.116,,,34,,,,,,,,,
4098,,BD+49 196,90508,43351,,,,W,,,,10,21,53.6,+,49,19,8,10,28,3.8,+,48,47,5,165.08,54.91,6.44,,,0.60,,0.05,,0.24,E,F9V,,0.079,-0.884,,0.053,-7,V,,3,,6.0,4.7,,,*
4242,,BD+53 144,94084,27810,,,,,,,,10,46,32.1,+,53,2,8,10,52,31.9,+,52,30,13,155.91,56.33,6.44,,,1.11,,1.01,,0.53,,K2III,,-0.071,-0.052,,,-3,SB,,,,,,,,
4261,,BD-19 313,94619,179334,2872,,,,,,,10,50,18.7,-,20,7,55,10,55,11.6,-,20,39,54,269.45,34.54,6.44,,,1.10,,,,,,K0,,-0.010,0.004,,,-12,V?,,,,,,,,
4486,,BD+45 194,101177,43841,,,,,8250,A,,11,33,29.1,+,45,39,42,11,38,44.9,+,45,6,31,157.05,66.91,6.44,,,0.56,,0.05,,,,G0V,,-0.594,0.026,,0.049,-18,SBO,,,,1.9,9.4,AB,5,*
4498,,CD-28 902,101563,180098,,,,,,,,11,36,10.3,-,28,38,52,11,41,8.4,-,29,11,47,284.99,31.21,6.44,,,0.66,,0.19,,,,G0V,,-0.324,0.215,,0.032,-19,SB,,,,,,,,
4601,,CP-73  92,104752,256898,,,,,,,,11,58,35.2,-,73,39,26,12,3,44.3,-,74,12,50,299.64,-11.65,6.44,,,1.23,,0.97,,0.60,C,G6III,,-0.027,0.007,,,9,,,,,,,,,
4836,,CD-39 778,110575,203746,,,,,,,,12,37,58.9,-,39,37,46,12,43,26.3,-,40,10,40,301.28,22.67,6.44,,,0.25,,0.04,,0.14,,A8V:,,0.027,-0.014,,,-5,,,,,,,,,*
4857,,CD-241054,111226,181105,1329,,,,,,,12,42,34.6,-,24,18,24,12,47,53.7,-,24,51,6,301.91,38.01,6.44,,,-0.06,,-0.45,,,,B8III,,-0.041,0.040,,,49,V,,,,,,,,
4896,,BD-03 337,112048,139027,,,,,,,,12,48,28.6,-,3,40,47,12,53,38.1,-,4,13,26,303.98,58.64,6.44,,,1.10,,1.02,,,,K0,,0.001,-0.041,,,37,V,,,,,,,,
5053,,BD+13 266,116594,100553,,,,,,,,13,19,33.8,+,12,57,9,13,24,30.5,+,12,25,55,332.35,73.39,6.44,,,1.06,,0.91,,,,K0III,,-0.016,0.041,,,-6,SB,,,,,,,,
5104,,CD-32 945,118010,204612,3082,,,,,,6315,13,29,2.7,-,32,47,52,13,34,43.6,-,33,18,39,313.24,28.69,6.44,,,1.26,,,,,,K2III,,-0.049,-0.012,,,-9,,,,,,,,,
5198,,CD-39 850,120457,204888,,,,,,,,13,44,21.9,-,39,24,13,13,50,19.4,-,39,54,4,315.03,21.58,6.44,,,0.99,,,,,,K1III,,0.007,-0.012,,,-4,,,,,,,,,
5341,,BD-05 384,124915,139828,,,,,,,,14,11,6.0,-,6,9,24,14,16,21.5,-,6,37,19,337.36,50.49,6.44,,,0.28,,0.09,,,,A9III,,-0.032,-0.016,,,-34,,,,,,,,,
5374,,BD+31 260,125658,64074,3136,,,,,,6633,14,15,46.2,+,30,53,17,14,20,8.7,+,30,25,45,47.84,70.32,6.44,,,0.15,,0.10,,0.05,,A5III,,-0.010,-0.005,,,1,,,,,,,,,
5642,,CD-44 992,134444,225517,,,,W,,AB,,15,4,49.4,-,44,53,54,15,11,34.9,-,45,16,39,327.22,10.88,6.44,,,1.04,,0.85,,,,K1III,,-0.009,0.014,,,-4,,,,,0.9,32.5,AC,3,*
5792,,CP-69 242,138965,257308,3233,,,,,,,15,30,7.7,-,69,53,50,15,40,11.5,-,70,13,40,316.36,-11.89,6.44,,,0.08,,0.08,,,,A1V,,-0.049,-0.060,,,-2,,,,,,,,,
5877,,BD+32 263,141456,64915,,I,,,,,,15,44,3.7,+,32,2,39,15,48,2.0,+,31,44,9,50.70,51.53,6.44,R,,,,,,,,K5,,0.032,-0.041,,,-20,,,,,,,,,
6489,,BD-01 332,157856,141661,1458,,,,,,,17,20,46.3,-,1,33,52,17,25,57.9,-,1,39,6,21.29,18.12,6.44,,,0.46,,-0.02,,,,F3V,,0.063,0.051,,,-24,,,8,,,,,,
6490,,CD-251216,157864,185406,,,,,,,,17,20,43.9,-,25,51,19,17,26,55.2,-,25,56,36,0.30,5.11,6.44,,,-0.06,,,,,,A0V,,-0.028,-0.026,,,-8,V?,,,,,,,,
