HR,Name,DM,HD,SAO,FK5,IRFlag,r_IRFloag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs1900,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B ,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
2491,9Alp CMa,BD-16 159,48915,151881,257,I,,,5423,,,6,40,44.6,-,16,34,44,6,45,8.9,-,16,42,58,227.22,-8.88,-1.46,,,0.00,,-0.05,,-0.03,,A1Vm,,-0.553,-1.205,,0.375,-8,SBO,,13,,10.3,11.2,AB,4,*
2326,Alp Car,CP-52  91,45348,234480,245,I,,,,,,6,21,43.9,-,52,38,27,6,23,57.1,-,52,41,45,261.21,-25.29,-0.72,,,0.15,,0.10,,0.18,,F0II,,0.022,0.021,,0.028,21,,,0,,,,,,*
5340,16Alp Boo,BD+19 277,124897,100944,526,I,,,,,6603,14,11,6.0,+,19,42,11,14,15,39.7,+,19,10,57,15.14,69.11,-0.04,,,1.23,,1.27,,0.65,,K1.5IIIFe-0.5,v,-1.093,-1.998,,0.090,-5,V,<,17,,,,,,*
5459,Alp1Cen,CP-60 548,128620,252838,538,I,,W,,A,,14,32,48.3,-,60,25,22,14,39,35.9,-,60,50,7,315.78,-0.71,-0.01,,,0.71,,0.24,,0.22,E,G2V,,-3.642,0.699,,0.751,-22,SBO,,,,1.4,20.9,AB,3,*
7001,3Alp Lyr,BD+38 323,172167,67174,699,I,,,11510,,Alp Lyr,18,33,33.1,+,38,41,26,18,36,56.3,+,38,47,1,67.44,19.24,0.03,,,0.00,,-0.01,,-0.03,,A0Va,,0.202,0.286,,0.123,-14,V,,15,,10.4,62.8,AB,5,*
1708,13Alp Aur,BD+45 107,34029,40186,193,I,,,3841,,1897,5,9,18.0,+,45,53,47,5,16,41.4,+,45,59,53,162.58,4.57,0.08,,,0.80,,0.44,,0.44,,G5IIIe+G0III,v,0.076,-0.425,,0.073,30,SB2O,,,,0.5,0.0,AP,10,*
1713,19Bet Ori,BD-08 106,34085,131907,194,I,,,3823,,1882,5,9,43.9,-,8,19,1,5,14,32.3,-,8,12,6,209.24,-25.25,0.12,,,-0.03,,-0.66,,-0.02,,B8Ia:,e,0.000,-0.001,,0.013,21,SB,,33,,6.5,9.5,AB,4,*
2943,10Alp CMi,BD+05 173,61421,115756,291,I,,,6251,,3672,7,34,4.0,+,5,28,53,7,39,18.1,+,5,13,30,213.69,13.03,0.38,,,0.42,,0.02,,0.23,,F5IV-V,,-0.710,-1.023,,0.288,-3,SBO,,6,,10.4,4.6,AC,5,*
472,Alp Eri,CP-57  33,10144,232481,54,,,,,,Var,1,33,59.4,-,57,44,41,1,37,42.9,-,57,14,12,290.84,-58.79,0.46,,,-0.16,,-0.66,,-0.11,,B3Vpe,v,0.095,-0.035,,0.026,16,V,,251,,,,,,*
2061,58Alp Ori,BD+07 105,39801,113271,224,I,,,4506,,Alp Ori,5,49,45.4,+,7,23,19,5,55,10.3,+,7,24,25,199.79,-8.96,0.50,,,1.85,,2.06,,1.28,,M1-2Ia-Iab,e,0.026,0.009,,0.005,21,SB,,,,9.9,174.4,AE,6,*
5267,Bet Cen,CP-59 536,122451,252582,518,,,W,,,Bet Cen,13,56,45.8,-,59,53,26,14,3,49.4,-,60,22,23,311.77,1.25,0.61,,,-0.23,,-0.98,,,,B1III,v,-0.032,-0.019,,0.009,6,SB,,139,,3.2,1.3,,,*
7557,53Alp Aql,BD+08 423,187642,125122,745,I,,,13009,,,19,45,54.2,+,8,36,15,19,50,47.0,+,8,52,6,47.74,-8.91,0.77,,,0.22,,0.08,,0.14,,A7V,,0.538,0.386,,0.198,-26,,,242,,8.6,165.2,AB,3,*
1457,87Alp Tau,BD+16  62,29139,94027,168,I,,,3321,,Alp Tau,4,30,10.9,+,16,18,30,4,35,55.2,+,16,30,33,180.97,-20.25,0.85,,,1.54,,1.90,,0.94,,K5+III,v,0.063,-0.190,,0.048,54,SB,<,17,,9.8,121.7,AC,6,*
6134,21Alp Sco,CD-261135,148478,184415,616,I,,,10074,,Alp Sco,16,23,16.4,-,26,12,36,16,29,24.4,-,26,25,55,351.95,15.06,0.96,,,1.83,,1.34,,1.23,,M1.5Iab-Ib+B4Ve,,-0.010,-0.020,,0.024,-3,SB,=<,20,,4.2,2.9,,,*
5056,67Alp Vir,BD-10 367,116658,157923,498,I,,W,,,Alp Vir,13,19,55.4,-,10,38,22,13,25,11.6,-,11,9,41,316.11,50.84,0.98,,,-0.23,,-0.93,,-0.24,,B1III-IV+B2V,,-0.041,-0.028,,0.023,1,SB2O,,159,,1.5,0.0,O,5,*
2990,78Bet Gem,BD+28 146,62509,79666,295,I,,,6335,,3712,7,39,11.8,+,28,16,4,7,45,18.9,+,28,1,34,192.23,23.41,1.14,,,1.00,,0.85,,0.50,,K0IIIb,e,-0.628,-0.046,,0.094,3,V,<,17,,10.2,201.1,AC,7,*
8728,24Alp PsA,CD-301937,216956,191524,867,I,,,,,14372,22,52,7.6,-,30,9,8,22,57,39.1,-,29,37,20,20.49,-64.90,1.16,,,0.09,,0.08,,0.02,,A3V,,0.333,-0.165,,0.149,7,,,100,,,,,,*
4853,Bet Cru,CP-59 445,111123,240259,481,,,W,,,Bet Cru,12,41,52.5,-,59,8,31,12,47,43.2,-,59,41,19,302.46,3.18,1.25,,,-0.23,,-1.00,,-0.26,,B0.5III,,-0.048,-0.014,,,16,SB,,38,,6.0,371.6,AC,3,*
7924,50Alp Cyg,BD+44 354,197345,49941,777,I,,,14172,,Alp Cyg,20,38,1.3,+,44,55,22,20,41,25.9,+,45,16,49,84.28,2.00,1.25,,,0.09,,-0.24,,0.10,,A2Ia,t,0.003,0.002,,-0.006,-5,SBO,,21,,10.0,75.4,,,*
4730,Alp1Cru,CP-62 274,108248,251904,462,,,W,,A,,12,21,2.0,-,62,32,41,12,26,35.9,-,63,5,57,300.13,-0.36,1.33,,,-0.24,,-1.03,,,,B0.5IV,,-0.036,-0.012,D,0.008,-11,SBO,,117,,0.4,4.4,AB,3,*
5460,Alp2Cen,CP-60 548,128621,,,I,',W,,B,,14,32,48.3,-,60,25,22,14,39,36.1,-,60,50,8,315.78,-0.71,1.33,,,0.88,,0.68,,0.30,E,K1V,,-3.646,0.700,,0.751,-21,V?,,,,1.4,20.9,AB,3,*
3982,32Alp Leo,BD+12 214,87901,98967,380,I,,,7654,A,4750,10,3,2.8,+,12,27,22,10,8,22.3,+,11,58,2,226.43,48.94,1.35,,,-0.11,,-0.36,,-0.10,,B7V,e,-0.248,0.006,,0.045,6,SB,,329,,6.8,177.6,AB,4,*
2618,21Eps CMa,CD-28 366,52089,172676,268,I,,,5654,,,6,54,41.7,-,28,50,9,6,58,37.5,-,28,58,20,239.83,-11.33,1.50,,,-0.21,,-0.93,,-0.21,,B2II,,0.004,0.003,D,0.001,27,,,44,,6.4,7.5,,,*
4763,Gam Cru,CP-56 527,108903,240019,468,I,,W,,A,5672,12,25,37.0,-,56,33,12,12,31,9.9,-,57,6,48,300.17,5.65,1.63,,,1.59,,1.78,,1.41,,M3.5III,,0.023,-0.262,,,21,,,,,5.1,110.6,AB,3,*
6527,35Lam Sco,CD-371167,158926,208954,652,,,W,,,Lam Sco,17,26,49.0,-,37,1,51,17,33,36.5,-,37,6,14,351.74,-2.21,1.63,,,-0.22,,-0.89,,-0.28,,B2IV+B,,-0.001,-0.029,,,-3,SB2,,163,,10.3,94.9,AC,3,*
1790,24Gam Ori,BD+06  91,35468,112740,201,I,,W,,,1972,5,19,46.0,+,6,15,33,5,25,7.9,+,6,20,59,196.93,-15.95,1.64,,,-0.22,,-0.87,,-0.22,,B2III,,-0.009,-0.014,,0.029,18,SB?,,59,,10.5,179.0,,,*
1791,112Bet Tau,BD+28  79,35497,77168,202,I,,W,,,,5,19,58.1,+,28,31,23,5,26,17.5,+,28,36,27,177.99,-3.74,1.65,,,-0.13,,-0.49,,-0.10,,B7III,,0.022,-0.175,,0.028,9,V,,71,,,33.4,,,*
3685,Bet Car,CP-69 102,80007,250495,348,,,,,,,9,12,6.2,-,69,18,19,9,13,12.0,-,69,43,2,285.98,-14.41,1.68,,,0.00,,0.03,,0.02,,A2IV,v,-0.162,0.108,,0.021,-5,V?,,133,,,,,,*
1903,46Eps Ori,BD-01  96,37128,132346,210,I,,W,,,Eps Ori,5,31,8.3,-,1,15,57,5,36,12.8,-,1,12,7,205.21,-17.24,1.70,,,-0.19,,-1.04,,-0.17,,B0Ia,e,0.001,-0.002,,-0.002,26,SB,,87,,8.7,179.9,,,*
4731,Alp2Cru,CP-62 274,108249,,,,,W,,B,,12,21,2.5,-,62,32,43,12,26,36.5,-,63,5,58,300.13,-0.36,1.73,,,-0.26,,-0.95,,,,B1V,,-0.034,-0.007,D,0.008,-1,,,197,,0.4,4.4,AB,3,*
8425,Alp Gru,CD-471406,209952,230992,829,,,W,,,14040,22,1,55.9,-,47,26,43,22,8,14.0,-,46,57,40,350.00,-52.47,1.74,,,-0.13,,-0.47,,-0.09,,B7IV,e,0.129,-0.151,,0.057,12,,,236,,10.1,28.4,,,*
4905,77Eps UMa,BD+56 162,112185,28553,483,I,,,,,Eps UMa,12,49,37.8,+,56,30,9,12,54,1.7,+,55,57,35,122.18,61.16,1.77,,,-0.02,,0.02,,-0.03,,A0pCr,,0.112,-0.006,,0.009,-9,SB?,,38,,,,,,*
3207,Gam2Vel,CD-46 384,68273,219504,309,,,W,,A,Gam2 Vel,8,6,27.0,-,47,2,30,8,9,32.0,-,47,20,12,262.80,-7.69,1.78,,,-0.22,,-0.99,,-0.13,,WC8+O9I,v,-0.004,0.006,,0.017,35,SB2O,,,,2.3,41.2,AB,5,*
1017,33Alp Per,BD+49  91,20902,38787,120,I,,W,,,1125,3,17,10.8,+,49,30,19,3,24,19.4,+,49,51,40,146.57,-5.86,1.79,,,0.48,,0.37,,0.33,,F5Ib,,0.024,-0.025,,0.016,-2,V,,18,,10.0,167.0,,,*
4301,50Alp UMa,BD+62 116,95689,15384,417,I,,,8035,,5070,10,57,33.6,+,62,17,27,11,3,43.7,+,61,45,3,142.85,51.01,1.79,,,1.07,,0.92,,0.58,,K0IIIa,e,-0.119,-0.067,,0.038,-9,SBO,<,17,,3.0,0.5,,,*
2693,25Del CMa,CD-26 391,54605,173047,273,I,,,,,3424,7,4,19.5,-,26,14,4,7,8,23.5,-,26,23,36,238.42,-8.27,1.84,,,0.68,,0.54,,0.33,,F8Ia,,-0.003,0.004,,-0.011,34,SB,,28,,,,,,*
6879,20Eps Sgr,CD-341278,169022,210091,689,,,W,,,,18,17,32.0,-,34,25,55,18,24,10.3,-,34,23,5,359.20,-9.81,1.85,,,-0.03,,-0.13,,-0.01,,B9.5III,,-0.038,-0.124,,0.023,-15,,,140,:,12.3,36.1,,,*
3307,Eps Car,CP-59 103,71129,235932,315,,,,,,4058,8,20,27.7,-,59,11,15,8,22,30.8,-,59,30,35,274.29,-12.60,1.86,,,1.28,,0.19,,0.89,,K3III+B2:V,,-0.026,0.014,,,2,,,,,,,,,*
5191,85Eta UMa,BD+50 202,120315,44752,509,I,,,,,6450,13,43,36.0,+,49,48,45,13,47,32.4,+,49,18,48,100.69,65.32,1.86,,,-0.19,,-0.67,,-0.18,,B3V,,-0.122,-0.011,,0.035,-11,SB?,,205,,,,,,*
6553,The Sco,CD-421231,159532,228201,654,,,,,,9233,17,30,7.9,-,42,56,3,17,37,19.2,-,42,59,52,347.14,-5.98,1.87,,,0.40,,0.22,,0.20,,F1II,,0.015,-0.002,,0.027,1,,,105,,,,,,*
2088,34Bet Aur,BD+44 132,40183,40750,227,I,,,4556,,Bet Aur,5,52,11.5,+,44,56,15,5,59,31.7,+,44,56,51,167.46,10.41,1.90,,,0.03,,0.05,,-0.01,,A2IV,,-0.057,0.000,,0.041,-18,SB2O,,37,,8.9,184.6,AB,3,*
6217,Alp TrA,CP-68 282,150798,253700,625,,,,,,,16,38,4.3,-,68,50,38,16,48,39.9,-,69,1,40,321.54,-15.26,1.92,,,1.44,,1.56,,,,K2IIb-IIIa,,0.014,-0.034,,0.031,-3,,,,,,,,,
2421,24Gam Gem,BD+16 122,47105,95912,251,I,,W,,,,6,31,56.1,+,16,29,5,6,37,42.7,+,16,23,57,196.77,4.45,1.93,,,0.00,,0.04,,-0.01,,A0IV,,0.042,-0.042,,0.033,-13,SB,,32,,9.0,143.5,AC,3,*
7790,Alp Pav,CP-57 967,193924,246574,764,,,W,,,13060,20,17,44.3,-,57,3,20,20,25,38.9,-,56,44,6,340.91,-35.19,1.94,,,-0.20,,-0.71,,-0.16,,B2IV,,0.007,-0.089,,,2,SBO,,39,,7.1,245.4,AB,3,*
3485,Del Vel,CP-54 178,74956,236232,,,,W,,,,8,41,56.5,-,54,20,31,8,44,42.2,-,54,42,30,272.08,-7.37,1.96,,,0.04,,0.07,,0.02,,A1V,,0.023,-0.078,,0.051,2,V?,,40,,3.0,2.2,AB,4,*
2294,2Bet CMa,BD-17 146,44743,151428,243,I,,W,,,Bet CMa,6,18,17.7,-,17,54,22,6,22,42.0,-,17,57,21,226.06,-14.27,1.98,,,-0.23,,-0.98,,-0.24,,B1II-III,,-0.006,0.000,,0.019,34,SB,,36,,7.8,185.9,,,*
2891,66Alp Gem,BD+32 158,60179,,,I,,,6175,A,YY Gem,7,28,13.0,+,32,6,27,7,34,36.0,+,31,53,18,187.44,22.48,1.98,,,0.03,,0.01,,-0.01,,A1V,,-0.171,-0.098,,0.067,6,SB1O,,14,,0.9,2.0,AB,6,*
3748,30Alp Hya,BD-08 268,81797,136871,354,I,,W,,,4496,9,22,40.4,-,8,13,30,9,27,35.2,-,8,39,31,241.49,29.05,1.98,,,1.44,,1.72,,0.77,,K3II-III,,-0.014,0.033,,0.022,-4,V?,<,17,,7.5,283.1,AB,3,*
617,13Alp Ari,BD+22  30,12929,75151,74,I,,,,,725,2,1,32.0,+,22,59,23,2,7,10.4,+,23,27,45,144.57,-36.20,2.00,,,1.15,,1.12,,0.62,,K2-IIICa-1,,0.190,-0.148,,0.049,-14,SB,<,17,,,,,,*
5958,,BD+26 276,143454,84129,,I,,W,,,T CrB,15,55,19.0,+,26,12,13,15,59,30.2,+,25,55,13,42.37,48.16,2.0,H,,0.1,,,,1.56,,sdBe+gM3+Q,,-0.005,0.013,,,-29,SBO,,,,,0.2,,,*
424,1Alp UMi,BD+88,8890,308,907,,,,1477,,Alp UMi,1,22,33.7,+,88,46,26,2,31,48.7,+,89,15,51,123.28,26.46,2.02,,,0.60,,0.38,,0.31,,F7:Ib-II,v,0.038,-0.015,,0.007,-17,SBO,,17,,6.8,18.4,AB,5,*
7121,34Sig Sgr,CD-261359,175191,187448,706,I,,W,,,,18,49,3.9,-,26,25,15,18,55,15.9,-,26,17,48,9.56,-12.43,2.02,,,-0.22,,-0.75,,-0.21,,B2.5V,,0.013,-0.054,,,-11,V,,201,,7.4,309.0,,,*
188,16Bet Cet,BD-18  11,4128,147420,22,I,,,,,272,0,38,34.2,-,18,32,8,0,43,35.4,-,17,59,12,111.31,-80.68,2.04,,,1.02,,0.87,,0.51,,G9.5IIICH-1,,0.234,0.033,,0.061,13,V?,,18,,,,,,*
1948,50Zet Ori,BD-02 133,37742,132444,,I,,,4263,A,2553,5,35,42.7,-,1,59,43,5,40,45.5,-,1,56,34,206.45,-16.59,2.05,H,,-0.21,,-1.07,,-0.20,,O9.7Ib,e,0.003,-0.002,,0.024,18,SB,,140,,2.2,2.4,AB,3,*
15,21Alp And,BD+28,358,73765,1,I,,,94,,Alp And,0,3,13.0,+,28,32,18,0,8,23.3,+,29,5,26,111.73,-32.84,2.06,,,-0.11,,-0.46,,-0.10,,B8IVpMnHg,v,0.136,-0.163,,0.032,-12,SBO,,56,,8.5,81.5,,,*
337,43Bet And,BD+34  19,6860,54471,42,I,,,949,,414,1,4,7.8,+,35,5,26,1,9,43.9,+,35,37,14,127.10,-27.10,2.06,,,1.58,,1.96,,1.00,,M0+IIIa,e,0.178,-0.114,,0.049,3,V,,,,10.1,80.4,AD,5,*
2004,53Kap Ori,BD-09 123,38771,132542,220,I,,,,,2641,5,43,0.8,-,9,42,18,5,47,45.4,-,9,40,11,214.51,-18.50,2.06,,,-0.17,,-1.03,,-0.18,,B0.5Ia,v,0.002,-0.002,,0.015,21,V?,,82,,,,,,*
5288,5The Cen,CD-35 926,123139,205188,520,I,',W,,,,14,0,47.7,-,35,52,41,14,6,41.0,-,36,22,12,319.46,24.08,2.06,,,1.01,,0.87,,0.53,,K0-IIIb,,-0.519,-0.519,,0.065,1,,,,,12.0,69.9,,,*
5563,7Bet UMi,BD+74  59,131873,8102,550,I,,W,,,6846,14,50,59.5,+,74,33,51,14,50,42.3,+,74,9,20,112.65,40.50,2.08,,,1.47,,1.78,,0.76,,K4-III,,-0.031,0.012,,0.039,17,V,<,17,,9.2,209.1,,,*
6556,55Alp Oph,BD+12 325,159561,102932,656,I,,A,,,9189,17,30,17.5,+,12,37,58,17,34,56.1,+,12,33,36,35.90,22.57,2.08,,,0.15,,0.10,,0.08,,A5III,,0.120,-0.226,,0.067,13,SB?,,219,,,0.1,,,*
8636,Bet Gru,CD-471430,214952,231258,856,I,,,,,Bet Gru,22,36,41.8,-,47,24,27,22,42,40.1,-,46,53,5,346.27,-57.95,2.10,,,1.60,,1.67,,1.65,,M5III,,0.137,-0.008,,0.008,2,,,,,,,,,*
936,26Bet Per,BD+40  67,19356,38592,111,I,,,2362,,Bet Per,3,1,39.5,+,40,34,14,3,8,10.1,+,40,57,20,148.98,-14.90,2.12,,,-0.05,,-0.37,,-0.03,,B8V,,0.004,-0.001,,0.045,4,SBO,,65,,8.3,81.9,AD,6,*
4534,94Bet Leo,BD+15 238,102647,99809,444,I,,,8314,,Bet Leo,11,43,57.5,+,15,7,52,11,49,3.6,+,14,34,19,250.65,70.81,2.14,,,0.09,,0.07,,0.02,,A3V,,-0.497,-0.114,,0.082,0,V,,121,,6.5,264.0,AD,4,*
4819,Gam Cen,CD-48 759,110304,223603,,,,W,,,,12,35,59.9,-,48,24,38,12,41,31.0,-,48,57,35,301.26,13.88,2.17,,,-0.01,,-0.01,,0.00,,A1IV,,-0.189,-0.005,,0.016,-6,SB,,81,,0.1,1.5,AB,3,*
7796,37Gam Cyg,BD+39 415,194093,49528,765,I,,,13765,,13048,20,18,38.3,+,39,56,11,20,22,13.7,+,40,15,24,78.15,1.87,2.20,,,0.68,,0.53,,0.34,,F8Ib,,0.004,0.000,,0.003,-8,V,,20,,8.5,141.2,AxBC,4,*
3634,Lam Vel,CD-42 499,78647,220878,345,I,',W,,,Lam Vel,9,4,19.0,-,43,1,44,9,7,59.8,-,43,25,57,265.94,2.82,2.21,,,1.66,,1.81,,0.94,,K4.5Ib-II,e,-0.019,0.013,,0.022,18,,,,,12.6,18.2,,,*
168,18Alp Cas,BD+55  13,3712,21609,21,I,,,561,,Alp Cas,0,34,49.7,+,55,59,20,0,40,30.5,+,56,32,14,121.42,-6.30,2.23,,,1.17,,1.13,,0.60,,K0IIIa,,0.053,-0.032,,0.016,-4,V?,,21,,6.7,64.4,AD,4,*
1852,34Del Ori,BD-00  98,36486,132220,206,I,,,4134,A,Del Ori,5,26,53.8,-,0,22,23,5,32,0.4,-,0,17,57,203.86,-17.74,2.23,,,-0.22,,-1.05,,-0.22,,O9.5II,,0.001,-0.002,,0.014,16,SBO,,152,,4.6,51.7,AC,3,*
5793,5Alp CrB,BD+27 251,139006,83893,578,I,,,,,Alp CrB,15,30,27.2,+,27,3,4,15,34,41.3,+,26,42,53,41.87,53.77,2.23,,,-0.02,,-0.02,,-0.04,,A0V+G5V,,0.121,-0.089,,0.045,2,SBO,,133,,,,,,*
6705,33Gam Dra,BD+51 228,164058,30653,676,I,,,10923,,,17,54,17.0,+,51,30,2,17,56,36.4,+,51,29,20,79.06,29.22,2.23,,,1.52,,1.87,,0.85,,K5III,v,-0.008,-0.019,,0.025,-28,,<,17,,8.4,140.1,AG,7,*
3165,Zet Pup,CD-39 393,66811,198752,306,,,,,,,8,0,4.1,-,39,43,17,8,3,35.1,-,40,0,12,255.98,-4.71,2.25,,,-0.26,,-1.11,,-0.22,,O5f,e,-0.027,0.012,,,-24,V?,,211,,,,,,*
3699,Iot Car,CP-58 146,80404,236808,351,,,,,,4444,9,14,24.8,-,58,51,20,9,17,5.4,-,59,16,31,278.46,-7.01,2.25,,,0.18,,0.16,,0.20,,A8Ib,,-0.020,0.008,,0.017,13,,,0,,,,,,*
603,57Gam1And,BD+41  39,12533,37734,73,I,,,1630,A,,1,57,45.4,+,41,51,0,2,3,54.0,+,42,19,47,136.96,-18.56,2.26,,,1.37,,1.58,,0.68,,K3-IIb,,0.045,-0.052,,0.013,-12,SB,<,17,,2.8,9.6,AxBC,4,*
21,11Bet Cas,BD+58,432,21133,2,I,,,107,,Bet Cas,0,3,50.2,+,58,35,54,0,9,10.7,+,59,8,59,117.52,-3.27,2.27,,,0.34,,0.11,,0.20,,F2III-IV,,0.525,-0.181,,0.072,12,SB,,70,,11.3,31.3,,,*
5054,79Zet UMa,BD+55 159,116656,28737,497,I,,,8891,A,6224,13,19,54.0,+,55,26,51,13,23,55.5,+,54,55,31,113.11,61.58,2.27,,,0.02,,0.03,,-0.02,,A1VpSrSi,,0.122,-0.020,,0.047,-6,SB2O,,32,,1.7,0.0,AP,4,*
6241,26Eps Sco,CD-341128,151680,208078,628,,,,,,7983,16,43,41.1,-,34,6,42,16,50,9.8,-,34,17,36,348.82,6.56,2.29,,,1.15,,1.27,,0.60,,K2.5III,,-0.611,-0.255,,0.022,-3,,,,,,,,,
5132,Eps Cen,CP-52 665,118716,241047,504,,,W,,,Eps Cen,13,33,32.9,-,52,57,28,13,39,53.2,-,53,27,59,310.19,8.72,2.30,,,-0.22,,-0.92,,-0.24,,B1III,,-0.028,-0.016,,,3,,,159,,8.4,36.9,,,*
5469,Alp Lup,CD-46 950,129056,225128,541,,,W,,,Alp Lup,14,35,16.5,-,46,57,32,14,41,55.8,-,47,23,18,321.61,11.44,2.30,,,-0.20,,-0.89,,-0.17,,B1.5III/Vn,,-0.021,-0.018,,,5,SB,,24,,11.1,27.6,,,*
5440,Eta Cen,CD-41 891,127972,225044,537,,,I,,,Eta Cen,14,29,9.3,-,41,43,7,14,35,30.4,-,42,9,28,322.77,16.67,2.31,,,-0.19,,-0.83,,-0.20,,B1.5Vne,v,-0.035,-0.035,,,0,SB,,333,,,,,,*
5953,7Del Sco,BD-22 406,143275,184014,594,I,,S,,,,15,54,25.1,-,22,20,14,16,0,20.0,-,22,37,18,350.10,22.49,2.32,,,-0.12,,-0.91,,-0.13,,B0.3IV,,-0.012,-0.022,,,-7,SB,,181,,0.2,0.2,O,4,*
4295,48Bet UMa,BD+57 130,95418,27876,416,I,,,,,5053,10,55,48.6,+,56,55,7,11,1,50.5,+,56,22,57,149.17,54.80,2.37,,,-0.02,,0.01,,-0.04,,A1V,,0.082,0.034,,0.053,-12,SB,,39,,,,,,*
99,Alp Phe,CD-42  11,2261,215093,12,I,,A,,,,0,21,20.5,-,42,50,56,0,26,17.0,-,42,18,22,320.02,-73.98,2.39,,,1.09,,0.88,,0.60,,K0III,,0.203,-0.396,,0.035,75,SB1O,,,,,0.1,,,*
8308,8Eps Peg,BD+09 489,206778,127029,815,I,,,15268,,Eps Peg,21,39,16.4,+,9,24,59,21,44,11.2,+,9,52,30,65.57,-31.46,2.39,,,1.53,,1.70,,0.76,,K2Ib,e,0.031,-0.001,,0.006,5,V,<,17,,6.1,142.5,AC,3,*
6580,Kap Sco,CD-381213,160578,209163,660,,,,,,Kap Sco,17,35,34.1,-,38,58,42,17,42,29.3,-,39,1,48,351.04,-4.72,2.41,,,-0.22,,-0.89,,-0.22,,B1.5III,,-0.006,-0.027,,,-14,SB,,131,,,,,,*
8775,53Bet Peg,BD+27 448,217906,90981,870,I,,,16483,,Bet Peg,22,58,55.5,+,27,32,25,23,3,46.5,+,28,4,58,95.74,-29.05,2.42,,,1.67,,1.96,,1.32,,M2.5II-III,e,0.189,0.137,,0.022,9,V,,,,7.0,253.1,AC,3,*
6378,35Eta Oph,BD-15 446,155125,160332,,I,,,10374,,,17,4,38.5,-,15,36,4,17,10,22.7,-,15,43,29,6.72,14.01,2.43,,,0.06,,0.09,,0.01,,A2V,,0.039,0.098,,0.052,-1,SB,,26,,0.4,0.3,AB,4,*
4554,64Gam UMa,BD+54 147,103287,28179,447,I,,,,,5379,11,48,34.3,+,54,15,3,11,53,49.8,+,53,41,41,140.84,61.38,2.44,,,0.00,,0.02,,-0.03,,A0Ve,,0.095,0.012,,0.028,-13,SB,,168,,,,,,*
8162,5Alp Cep,BD+61 211,203280,19302,803,I,,,14858,,13660,21,16,11.5,+,62,9,43,21,18,34.8,+,62,35,8,101.00,9.17,2.44,,,0.22,,0.11,,0.11,,A7V,,0.151,0.049,,0.068,-10,V,,246,,9.1,206.8,AB,4,*
2827,31Eta CMa,CD-29 432,58350,173651,283,I,,W,,,,7,20,8.3,-,29,6,29,7,24,5.7,-,29,18,11,242.62,-6.49,2.45,,,-0.08,,-0.72,,-0.06,,B5Ia,,-0.004,0.005,,,41,V,,45,,4.5,178.7,,,*
7949,53Eps Cyg,BD+33 401,197989,70474,780,I,,,14274,,,20,42,9.8,+,33,35,44,20,46,12.7,+,33,58,13,75.94,-5.71,2.46,,,1.03,,0.87,,0.54,,K0-III,,0.356,0.328,,0.057,-11,SB?,<,17,,9.3,54.9,AB,3,*
264,27Gam Cas,BD+59  14,5394,11482,32,I,,,782,,Gam Cas,0,50,40.1,+,60,10,31,0,56,42.5,+,60,43,0,123.58,-2.15,2.47,,,-0.15,,-1.08,,-0.08,,B0IVe,v,0.026,-0.005,,0.016,-7,SB,,300,:,6.3,2.3,AB,3,*
8781,54Alp Peg,BD+14 492,218045,108378,871,I,,,,,14417,22,59,46.7,+,14,40,2,23,4,45.7,+,15,12,19,88.28,-40.38,2.49,,,-0.04,,-0.05,,-0.03,,B9V,,0.063,-0.042,,0.038,-4,SB,,148,,,,,,*
3734,Kap Vel,CP-54 221,81188,236891,353,,,,,,,9,19,1.0,-,54,35,1,9,22,6.8,-,55,0,39,275.88,-3.54,2.50,,,-0.18,,-0.75,,-0.19,,B2IV-V,,-0.008,0.009,,0.013,22,SBO,,49,,,,,,*
911,92Alp Cet,BD+03  41,18884,110920,107,I,,,,,Alp Cet,2,57,3.0,+,3,41,51,3,2,16.8,+,4,5,23,173.32,-45.59,2.53,,,1.64,,1.94,,1.16,,M1.5IIIa,v,-0.009,-0.078,,0.009,-26,V,,,,,,,,*
5231,Zet Cen,CD-46 894,121263,224538,512,,,,,,,13,49,17.9,-,46,47,45,13,55,32.4,-,47,17,18,314.07,14.19,2.55,,,-0.22,,-0.92,,-0.20,,B2.5IV,,-0.057,-0.042,,,7,SB2O,,219,,,,,,*
4357,68Del Leo,BD+21 229,97603,81727,422,I,,W,,,5143,11,8,47.4,+,21,4,18,11,14,6.5,+,20,31,25,224.22,66.83,2.56,,,0.12,,0.12,,0.03,,A4V,,0.142,-0.130,,0.048,-20,V,,181,,6.0,191.4,AB,3,*
6175,13Zet Oph,BD-10 435,149757,160006,622,I,,,,,Zet Oph,16,31,39.0,-,10,21,53,16,37,9.5,-,10,34,2,6.28,23.59,2.56,,,0.02,,-0.86,,-0.04,,O9.5Vn,t,0.014,0.026,,0.003,-15,V,,379,,,,,,*
